bibtex_key,title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,selection_criteria,created_at,updated_at,status,comments
,Software Architecture in Practice: Challenges and Opportunities,"Wan, Zhiyuan and Zhang, Yun and Xia, Xin and Jiang, Yi and Lo, David",,2023,ACM Digital Library,1457–1469,,"Software architecture has been an active research field for nearly four decades, in which previous studies make significant progress such as creating methods and techniques and building tools to support software architecture practice. Despite past efforts, we have little understanding of how practitioners perform software architecture related activities, and what challenges they face. Through interviews with 32 practitioners from 21 organizations across three continents, we identified challenges that practitioners face in software architecture practice during software development and maintenance. We reported on common software architecture activities at software requirements, design, construction and testing, and maintenance stages, as well as corresponding challenges. Our study uncovers that most of these challenges center around management, documentation, tooling and process, and collects recommendations to address these challenges.",,10.1145/3611643.3616367,https://doi.org/10.1145/3611643.3616367,,,"Grounded Theory, Practice, Software Architecture, Software Development and Maintenance",Association for Computing Machinery,,,,,"46049,79051","46049,79051",Unclassified,
,Replaying history on process models for conformance checking and performance analysis,"van der Aalst, Wil and Adriansyah, Arya and van Dongen, Boudewijn",Wiley Int. Rev. Data Min. and Knowl. Disc.,2012,ACM Digital Library,182–192,2,"Process mining techniques use event data to discover process models, to check the conformance of predefined process models, and to extend such models with information about bottlenecks, decisions, and resource usage. These techniques are driven by observed events rather than hand-made models. Event logs are used to learn and enrich process models. By replaying history using the model, it is possible to establish a precise relationship between events and model elements. This relationship can be used to check conformance and to analyze performance. For example, it is possible to diagnose deviations from the modeled behavior. The severity of each deviation can be quantified. Moreover, the relationship established during replay and the timestamps in the event log can be combined to show bottlenecks. These examples illustrate the importance of maintaining a proper alignment between event log and process model. Therefore, we elaborate on the realization of such alignments and their application to conformance checking and performance analysis. © 2012 Wiley Periodicals, Inc. © 2012 Wiley Periodicals, Inc.",,10.1002/widm.1045,https://doi.org/10.1002/widm.1045,,,"Association Rules, Business and Industry, Data Concepts, Spatial and Temporal Data Mining","John Wiley &amp; Sons, Inc.",,,,,"46049,79051","46049,79051",Unclassified,
,A formal and visual modeling approach to choreography based web services composition and conformance verification,"Yeung, W.L.",Expert Syst. Appl.,2011,ACM Digital Library,12772–12785,38,,,10.1016/j.eswa.2011.04.068,https://doi.org/10.1016/j.eswa.2011.04.068,,,"Web services, Orchestration, Choreography, Conformance verification, Model checking, Contract negotiation","Pergamon Press, Inc.",0957-4174,,,,"46049,79051","46049,79051",Unclassified,
,Extracting the&nbsp;Architecture of&nbsp;Microservices: An Approach for&nbsp;Explainability and&nbsp;Traceability,"Qu\'{e}val, Pierre-Jean and Zdun, Uwe",,2023,ACM Digital Library,346–353,,"The polyglot nature of microservice architectures and the need for high reliability in security analyses pose unique challenges that existing approaches to automatic architecture recovery often fail to address. This article proposes an approach for extracting detailed architecture models from polyglot microservice source code focusing on explainability and traceability. The approach involves abstracting code navigation as a tree structure, using an exploratory algorithm to detect architectural aspects, and providing a set of generic detectors as input. The architecture models are automatically annotated with detailed information that makes them useful for architecture conformance checking and violation fixing. Our case studies of microservice software systems validate the usefulness of our approach, providing insights into its completeness, accuracy, and effectiveness for software architecture tasks.",,10.1007/978-3-031-42592-9_24,https://doi.org/10.1007/978-3-031-42592-9_24,,,"Architecture, Explainability, Microservices, Polyglot",Springer-Verlag,,,,,"46049,79051","46049,79051",Unclassified,
,Assessing architectural drift in commercial software development: a case study,"Rosik, Jacek and Le Gear, Andrew and Buckley, Jim and Babar, Muhammad Ali and Connolly, Dave",Softw. Pract. Exper.,2011,ACM Digital Library,63–86,41,"Objectives: Software architecture is perceived as one of the most important artefacts created during a system's design. However, implementations often diverge from their intended architectures: a phenomenon called architectural drift. The objective of this research is to assess the occurrence of architectural drift in the context of de novo software development, to characterize it, and to evaluate whether its detection leads to inconsistency removal. Method: An in vivo, longitudinal case study was performed during the development of a commercial software system, where an approach based on Reflexion Modelling was employed to detect architectural drift. Observation and think-aloud data, captured during the system's development, were assessed for the presence and types of architectural drift. When divergences were identified, the data were further analysed to see if identification led to the removal of these divergences. Results: The analysed system diverged from the intended architecture, during the initial implementation of the system. Surprisingly however, this work showed that Reflexion Modelling served to conceal some of the inconsistencies, a finding that directly contradicts the high regard that this technique enjoys as an architectural evaluation tool. Finally, the analysis illustrated that detection of inconsistencies was insufficient to prompt their removal, in the small, informal team context studied. Conclusions: Although the utility of the approach for detecting inconsistencies was demonstrated in most cases, it also served to hide several inconsistencies and did not act as a trigger for their removal. Hence additional efforts must be taken to lessen architectural drift and several improvements in this regard are suggested. Copyright © 2010 John Wiley &amp; Sons, Ltd.",,10.1002/spe.999,https://doi.org/10.1002/spe.999,,,"architecture consistency, architecture degeneration, reflection models, software/program verification","John Wiley &amp; Sons, Inc.",0038-0644,,,,"46049,79051","46049,79051",Unclassified,
,An industrial case study of architecture conformance,"Rosik, Jacek and Le Gear, Andrew and Buckley, Jim and Ali Babar, Muhammad",,2008,ACM Digital Library,80–89,,"A software designer often has little control over, or means of checking, whether his design is being adhered to, once the implementation begins. This 'architectural drift', where the original design of the system and the as-implemented design of the system diverge, can cause serious problems for evolution, maintenance and the comprehensibility of a system if it remains undocumented or uncorrected. The earlier such discrepancies can be identified, the better.This paper reports on a case study designed to evaluate a proposed approach for monitoring architectural drift during software development. The proposed approach differs significantly from existing design conformance approaches in that it has been designed for application within a forward engineering context. The findings show the utility of the approach in identifying architectural drift but also illustrate a number of improvements that could be made to the technique to further promote architecture conformance.",,10.1145/1414004.1414019,https://doi.org/10.1145/1414004.1414019,,,"architectural drift, architecture conformance, industrial experience, reflexion modelling",Association for Computing Machinery,,,,,"46049,79051","46049,79051",Unclassified,
,Assessing Architecture Conformance to Coupling-Related Patterns and Practices in Microservices,"Ntentos, Evangelos and Zdun, Uwe and Plakidas, Konstantinos and Meixner, Sebastian and Geiger, Sebastian",,2020,ACM Digital Library,3–20,,"Microservices are the go-to architectural style for building applications that are polyglot, support high scalability, independent development and deployment, and are rapidly adaptable to changes. Among the core tenets for a successful microservice architecture is high independence of the individual microservices, i.e. loose coupling. A number of patterns and best practices are well-established in the literature, but most actual microservice-based systems do not, as a whole or in part, conform to them. Assessing this conformance manually is not realistically possible for large-scale systems. This study aims to provide the foundations for an automated approach for assessing conformance to coupling-related patterns and practices specific for microservice architectures. We propose a model-based assessment based on generic, technology-independent metrics, connected to typical design decisions encountered in microservice architectures. We demonstrate and assess the validity and appropriateness of these metrics by performing an assessment of the conformance of real-world systems to patterns through statistical methods.",,10.1007/978-3-030-58923-3_1,https://doi.org/10.1007/978-3-030-58923-3_1,,,,Springer-Verlag,,,,,"46049,79051","46049,79051",Unclassified,
,Metrics for Assessing Architecture Conformance to Microservice Architecture Patterns and Practices,"Ntentos, Evangelos and Zdun, Uwe and Plakidas, Konstantinos and Meixner, Sebastian and Geiger, Sebastian",,2020,ACM Digital Library,580–596,,"Many contemporary service-based systems follow the microservice approach, particularly in DevOps or continuous delivery contexts. They share a set of important tenets such as independent development and deployment, high releasability, polyglot technology support, and loose coupling. A number of best practices for microservice architectures have been codified as patterns, which embody those tenets. However, no real-world microservices system can support all patterns and practices well, but rather architectural decisions making trade-offs among them are needed. Conformance to the patterns and practices selected in such decisions is hard to ensure and assess automatically, especially in large-scale, complex, and evolving systems. In this work, we propose a model-based approach based on generic, technology-independent metrics, tied to typical architectural design decisions in the microservice domain. With this approach we can measure conformance to the patterns and related tenets. We demonstrate and assess the validity and appropriateness of these metrics in performing an assessment of a system’s conformance to patterns through statistical methods.",,10.1007/978-3-030-65310-1_42,https://doi.org/10.1007/978-3-030-65310-1_42,,,,Springer-Verlag,,,,,"46049,79051","46049,79051",Unclassified,
,Detecting deviations in the code using architecture view-based drift analysis,"Uzun, Burak and Tekinerdogan, Bedir",Comput. Stand. Interfaces,2024,ACM Digital Library,,87,,,10.1016/j.csi.2023.103774,https://doi.org/10.1016/j.csi.2023.103774,,,"Software architecture reconstruction, Model-driven development, Architecture drift analysis, Architecture drift",Elsevier Science Publishers B. V.,0920-5489,,,,"46049,79051","46049,79051",Unclassified,
,Ensuring and Assessing Architecture Conformance to Microservice Decomposition Patterns,"Zdun, Uwe and Navarro, Elena and Leymann, Frank",,2017,ACM Digital Library,411–429,,"Microservice-based software architecture design has been widely discussed, and best practices have been published as architecture design patterns. However, conformance to those patterns is hard to ensure and assess automatically, leading to problems such as architectural drift and erosion, especially in the context of continued software evolution or large-scale microservice systems. In addition, not much in the component and connector architecture models is specific (only) to the microservices approach, whereas other aspects really specific to that approach, such as independent deployment of microservices, are usually modeled in other views or not at all. We suggest a set of constraints to check and metrics to assess architecture conformance to microservice patterns. In comparison to expert judgment derived from the patterns, a subset of these constraints and metrics shows a good relative performance and potential for automation.",,10.1007/978-3-319-69035-3_29,https://doi.org/10.1007/978-3-319-69035-3_29,,,,Springer-Verlag,,,,,"46049,79051","46049,79051",Unclassified,
,Evaluating and Improving Microservice Architecture Conformance to Architectural Design Decisions,"Ntentos, Evangelos and Zdun, Uwe and Plakidas, Konstantinos and Geiger, Sebastian",,2021,ACM Digital Library,188–203,,"Microservices are a commonly used architectural style targeting independent development, deployment, and release of services, as well as supporting polyglot capabilities and rapid release strategies. This depends on the presence of certain software architecture qualities. A number of architecture patterns and best practices that support the required qualities have been proposed in the literature, but usually in isolation of one another. Additionally, in real-world systems, assessing conformance to these patterns and practices and detecting possible violations is a significant challenge. For small-scale systems of a few services, a manual assessment and violation detection by an expert is probably both accurate and sufficient. However, for industrial-scale systems of several hundred or more services, manual assessment and violation detection is laborious and likely leads to inaccurate results. Furthermore, manual assessment is impractical for rapidly evolving and frequently released system architectures. In this work we examine a subset of microservice-relevant patterns, and propose a method for the semi-automatic detection and resolution of conformance violations. Our aim is to assist the software architect by providing a set of possible fix options and generating models of “fixed” architectures.",,10.1007/978-3-030-91431-8_12,https://doi.org/10.1007/978-3-030-91431-8_12,,,,Springer-Verlag,,,,,"46049,79051","46049,79051",Unclassified,
,Complementing model-driven development for the detection of software architecture erosion,"Herold, Sebastian and Rausch, Andreas",,2013,ACM Digital Library,24–30,,"Detecting software architecture erosion is an important task during the development and maintenance of software systems. Even in model-driven approaches in which consistency between artifacts can partially be established by construction and consistency issues have been intensively investigated, the intended architecture and its realization may diverge with negative effects on software quality.In this article, we describe an approach to flexible architecture erosion detection for model-driven development approaches. Consistency constraints expressed by architectural aspects called architectural rules are specified as formulas on a common ontology, and models are mapped to instances of that ontology. A knowledge representation and reasoning system is then utilized to check whether these architectural rules are satisfied for a given set of models.We describe three case studies in which this approach has been used to detect architecture erosion flexibly and argue that the negative effects of architecture erosion can be minimized effectively.",,,,,,"architecture conformance checking, inter-model consistency, software architecture, software architecture erosion",IEEE Press,,,,,"46049,79051","46049,79051",Unclassified,
,Conformance checking and performance improvement in scheduled processes,"Senderovich, Arik and Weidlich, Matthias and Yedidsion, Liron and Gal, Avigdor and Mandelbaum, Avishai and Kadish, Sarah and Bunnell, Craig A.",Inf. Syst.,2016,ACM Digital Library,185–206,62,"Service processes, for example in transportation, telecommunications or the health sector, are the backbone of today's economies. Conceptual models of service processes enable operational analysis that supports, e.g., resource provisioning or delay prediction. In the presence of event logs containing recorded traces of process execution, such operational models can be mined automatically.In this work, we target the analysis of resource-driven, scheduled processes based on event logs. We focus on processes for which there exists a pre-defined assignment of activity instances to resources that execute activities. Specifically, we approach the questions of conformance checking (how to assess the conformance of the schedule and the actual process execution) and performance improvement (how to improve the operational process performance). The first question is addressed based on a queueing network for both the schedule and the actual process execution. Based on these models, we detect operational deviations and then apply statistical inference and similarity measures to validate the scheduling assumptions, thereby identifying root-causes for these deviations. These results are the starting point for our technique to improve the operational performance. It suggests adaptations of the scheduling policy of the service process to decrease the tardiness (non-punctuality) and lower the flow time. We demonstrate the value of our approach based on a real-world dataset comprising clinical pathways of an outpatient clinic that have been recorded by a real-time location system (RTLS). Our results indicate that the presented technique enables localization of operational bottlenecks along with their root-causes, while our improvement technique yields a decrease in median tardiness and flow time by more than 20%. HighlightsWe provide a broad extension to the notions of conceptual, operational and continuous conformance checking techniques.We present novel theoretical results in terms of scheduling algorithms for Fork/Join networks that re-sequence arriving cases. We prove that these scheduling algorithms are guaranteed to never perform worse than the baseline approach.We test the new techniques for process improvement on real-world data, and show that the proposed algorithms yield a 20%-40% improvement in median flow time and tardiness.",,10.1016/j.is.2016.01.002,https://doi.org/10.1016/j.is.2016.01.002,,,"Conformance checking, Process improvement, Process mining, Queueing networks, Scheduled processes, Scheduling, Statistical inference",Elsevier Science Ltd.,0306-4379,,,,"46049,79051","46049,79051",Unclassified,
,Applying a Multi-platform Architectural Conformance Solution in a Real-world Microservice-based System,"Araujo, Elena A. and Esp\'{\i}ndola, \'{A}lvaro M. and Garcia, Vinicius Cardoso and Terra, Ricardo",,2020,ACM Digital Library,41–50,,"Microservice architectures are composed of a set of independent microservices that execute well-defined functionalities, allowing each one to be developed in different programming languages and data management technologies. The problem, however, is that such heterogeneity implies in a harder verification process of communication among microservices and the architectural designs of each microservice. Although the state-of-the-art provides several architectural conformance solutions, none formally restricts communications (e.g., over HTTP) between different systems. Even stable and industrial solutions---such as Kubernetes, Terraform, and Docker Compose---provide basic mechanisms to restrict communications between microservices. Thereupon, this paper proposes and evaluates a multi-platform architectural conformance solution for the microservice architecture. For this purpose, (i) we specify an architectural constraint language, called DCL+---adapted from the DCL (Dependency Constraint Language) language; (ii) we propose a multi-platform process that restricts the communication between the microservices and also verifies the architectural projects of each one of them; (iii) we develop DCL+check, a tool that implements the proposed solution; (iv) we apply our process in a medium-size real-world application composed of eleven microservices, developed in two different languages (JavaScript and Java). As result, we found 16 communication and 171 structural design violations. The communication violations occurred in general due to the lack of knowledge of the developers about the restrictions of communication among the modules of the orchestrator system and other microservices, as well as the evolution of two microservices.",,10.1145/3425269.3425270,https://doi.org/10.1145/3425269.3425270,,,,Association for Computing Machinery,,,,,"46049,79051","46049,79051",Unclassified,
,Constructing a service process model based on distributed tracing for conformance checking of microservices,"Sakai, Masaru and Takahashi, Kensuke",,2022,ACM Digital Library,1–6,,"In recent years, microservices architectures have become widespread, where services are divided into smaller pieces, communicate with each other, and operate in chains. Distributed tracing, which tracks the processing of user requests, is used to analyze and visualize microservices. In this paper, the trace data obtained from the distributed tracing is divided based on the parent-child relationship and converted into an event log. In addition, process discovery is performed on each of the split event logs to estimate the relationships between microservice processes. Then, generate a normal Petri net model that can reproduce each event log. Finally, the test trace data is used to verify the suitability of the Petri net model. We constructed a service model for two sample microservices with different scales and distributed tracing implementations and demonstrated the proposed method's feasibility through conformance checking using test trace data.",,10.1109/NOMS54207.2022.9789804,https://doi.org/10.1109/NOMS54207.2022.9789804,,,,IEEE Press,,,,,"46049,79051","46049,79051",Unclassified,
,Assessing Architecture Conformance to&nbsp;Coupling-Related Infrastructure-as-Code Best Practices: Metrics and&nbsp;Case Studies,"Ntentos, Evangelos and Zdun, Uwe and Soldani, Jacopo and Brogi, Antonio",,2022,ACM Digital Library,101–116,,"Infrastructure as Code (IaC) is an IT practice that facilitates the management of the underlying infrastructure as software. It enables developers or operations teams to automatically manage, monitor, and provision resources rather than organize them manually. In many industries, this practice is widespread and has already been fully adopted. However, few studies provide techniques for evaluating architectural conformance in IaC deployments and, in particular, aspects such as loose coupling. This paper focuses on coupling-related patterns and practices such as deployment strategies and the structuring of IaC elements. Many best practices are documented in gray literature sources, such as practitioner books, blogs, and public repositories. Still, there are no approaches yet to automatically check conformance with such best practices. We propose an approach based on generic, technology-independent metrics tied to typical architectural design decisions for IaC-based practices in microservice deployments to support architecting in the context of continuous delivery practices. We present three case studies based on open-source microservice architectures to validate our approach.",,10.1007/978-3-031-16697-6_7,https://doi.org/10.1007/978-3-031-16697-6_7,,,"Infrastructure as Code, metrics, software architecture, architecture conformance, IaC best practices",Springer-Verlag,,,,,"46049,79051","46049,79051",Unclassified,
,CATMA: Conformance Analysis Tool For Microservice Applications,"Cao, Clinton and Schneider, Simon and Ferreyra, Nicolas E. Diaz and Verwer, Sicco and Panichella, Annibale and Scandariato, Riccardo",,2024,ACM Digital Library,59–63,,"The microservice architecture allows developers to divide the core functionality of their software system into multiple smaller services. However, this architectural style also makes it harder for them to debug and assess whether the system's deployment conforms to its implementation. We present CATMA, an automated tool that detects non-conformances between the system's deployment and implementation. It automatically visualizes and generates potential interpretations for the detected discrepancies. Our evaluation of CATMA shows promising results in terms of performance and providing useful insights. CATMA is available at https://cyber-analytics.nl/catma.github.io/, and a demonstration video is available at https://youtu.be/WKP1hG-TDKc.",,10.1145/3639478.3640022,https://doi.org/10.1145/3639478.3640022,,,"microservices, static analysis, dynamic analysis, software testing, empirical software engineering",Association for Computing Machinery,,,,,"46049,79051","46049,79051",Unclassified,
,Conformance assessment of Architectural Design Decisions on API endpoint designs derived from domain models,"Singjai, Apitchaka and Zdun, Uwe",J. Syst. Softw.,2022,ACM Digital Library,,193,,,10.1016/j.jss.2022.111433,https://doi.org/10.1016/j.jss.2022.111433,,,"Microservice architecture, API design, Domain driven design, Architecture conformance assessment",Elsevier Science Inc.,0164-1212,,,,"46049,79051","46049,79051",Unclassified,
,Global conformance checking measures using shallow representation and deep learning,"Peeperkorn, Jari and vanden Broucke, Seppe and De Weerdt, Jochen",Eng. Appl. Artif. Intell.,2023,ACM Digital Library,,123,,,10.1016/j.engappai.2023.106393,https://doi.org/10.1016/j.engappai.2023.106393,,,"Process mining, Conformance checking, Recurrent neural networks, LSTM, Representation learning, Word2vec","Pergamon Press, Inc.",0952-1976,,,,"46049,79051","46049,79051",Unclassified,
,Multi-perspective Conformance Checking for&nbsp;Email-Driven Processes,"Bou Nader, Ralph and Garfatta, Ikram and Elleuch, Marwa and Gaaloul, Walid and Taher, Yehia",,2024,ACM Digital Library,441–457,,"Business process conformance checking determines whether the execution of a process instance aligns with a predefined model that specifies its expected behaviour. Existing approaches are usually tailored for business processes modelled and executed through traditional business process management systems and therefore fall short when the business processes to be checked are described or partially supported by rather unorthodox systems. Such is the case for email-driven processes which are generally business process fragments executed using emailing systems. In fact, one of the main limitations exhibited by existing conformance checking techniques is that they mostly only consider the behavioral, functional, and structural perspectives of a process. In the case of email-driven processes, however, it is crucial to also take into account the contextual perspective of the events obtained from the email bodies and threads. In this paper, we propose an approach for multi-perspective conformance checking of email-driven processes, taking into account both their sequential as well as their contextual perspectives.",,10.1007/978-981-96-0576-7_32,https://doi.org/10.1007/978-981-96-0576-7_32,,,"Process mining, Conformance checking, Event logs, Email-driven process",Springer-Verlag,,,,,"46049,79051","46049,79051",Unclassified,
,Automatic Reference Architecture Conformance Checking for SOA-Based Software Systems,"Weinreich, Rainer and Buchgeher, Georg",,2014,ACM Digital Library,95–104,,"Company-wide reference architectures are an important means for standardization and reuse. Standardization is enforced through reference architecture conformance checking. Manual conformance checking is too time- and resource-intensive to be performed continuously for the various systems that are part of a SOA. We present an approach for automatic reference architecture conformance checking of SOA-based software systems. Reference architectures are defined based on rules consisting of roles and of constraints on roles and role relationships. By mapping the roles to the elements of a software architecture representation, reference architecture specifications are reusable for different software systems. Through automating the whole checking process, including architecture extraction, role mapping, and rule evaluation, the approach can be applied continuously for the different systems that are part of a SOA. The approach has been developed and refined by applying it to a SOA in the banking domain. During its evolution from semi-automatic to a fully automatic approach it has also changed the way of how architecture information is provided as part of the system implementation in this domain.",,10.1109/WICSA.2014.22,https://doi.org/10.1109/WICSA.2014.22,,,"conformance checking, reference architecture, service-oriented architecture (SOA), software architecture",IEEE Computer Society,,,,,"46049,79051","46049,79051",Unclassified,
,Model-Driven Software Architecture Conformance Analysis,"Uzun, Burak and M., Ak\c{s}it, and M., Chaudron, and H., Vangheluwe, and J, Pennings,",,2021,ACM Digital Library,,,"Every software system has an architecture that defines the gross-level structure of the system and consists of architectural components, relations and their interactions. A common practice to model software architectures is based on the notion of so-called architecture viewpoints, which define the templates and guidelines for the architecture from the perspective of one or more stakeholder concerns. Based on architecture viewpoints, architecture views can be derived for a particular system. Usually, the architecture of a system consists of multiple architecture views. Since software systems constantly evolve, the software code can start to diverge from the documented software architecture. Architecture conformance analysis methods have been proposed that compare and check the differences between the code and the software architecture. Elements in the code might conform to the elements in the architecture, elements might be absent, or the code might diverge from the architecture and introduce new elements. Conformance analysis is performed on two levels which are code and architecture levels. Codelevel conformance analysis employs intended architecture to generate runnable specifications that are executed on the code to reveal divergence or absence relations. Architecture level conformance analysis employs reconstructed architecture from implementation and compares intended architecture with reconstructed architecture. Manually checking for divergence and absence relations in large-scale software systems is time-consuming and cumbersome; hence, most conformance analysis methods in the industry are either semi-automated or fully automated. Software testing can be used to detect the divergence and absence relations. Automation in software testing can be achieved by model-based testing techniques. Modelbased testing is a software testing technique in which certain aspects of software system behaviours are defined in a model that is a basis for abstract tests. Concrete tests are derived from these abstract tests and executed against the software system under test.The main objective in this thesis is to define model-driven conformance analysis methodologies to detect the absence and divergence relations of software systems. To this end we answered the following research questions:RQ1:What are current solutions for model-driven architecture-based testing?RQ2:What are the limitations and benefits of code level model-based architecture conformance analysis using architecture viewpoints?RQ3:What are the characteristic features of architecture reconstruction methods?RQ4:What are the limitations and benefits of architecture level model-based architecture conformance analysis using architecture viewpoints?To answer these research questions, we used five different research methodologies which are: Systematic Literature Review, Case Study Research, Survey Study, Domain Analysis, Design Science Research.In chapter 2, we applied a systematic literature review for model-driven architecture based testing. We defined three research questions which are related to identifying addressed concerns, proposed solutions and existing research directions. We thoroughly analyzed 31 primary studies out of 739 studies. Firstly, we identified two concerns for applying MDABT which are: code to architecture conformance checking and internal architecture consistency checking. Furthermore, we derived a generic process model for model-driven architecture- based testing. Lastly, we identified current obstacles and existing research directions based on selected primary studies. We identified seven obstacles for MDABT which are: the need for executable models for representing architecture, coping with the abstraction difference between architecture and code, the combinatorial state explosion problem, the lack of architecture views to consider multiple different concerns, the need for automating the process by tools, the costbenefit analysis, and the need for applying ",,,,,,,Wageningen University and Research,,,AAI28820543,,"46049,79051","46049,79051",Unclassified,
,A toolset for conformance testing against UML sequence diagrams based on event-driven colored Petri nets,"Faria, Jo\~{a}o Pascoal and Paiva, Ana C.",Int. J. Softw. Tools Technol. Transf.,2016,ACM Digital Library,285–304,18,"Novel techniques and a toolset are presented for automatically testing the conformance of software implementations against partial behavioral models constituted by a set of parameterized UML sequence diagrams, describing both external interactions with users or client applications and internal interactions between objects in the system. Test code is automatically generated from the sequence diagrams and executed on the implementation under test, and test results and coverage information are presented back visually in the model. A runtime test library handles internal interaction checking, test stubs, and user interaction testing, taking advantage of aspect-oriented programming techniques. Incremental conformance checking is achieved by first translating sequence diagrams to Extended Petri Nets that combine the characteristics of Colored Petri Nets and Event-Driven Petri Nets.",,10.1007/s10009-014-0354-x,https://doi.org/10.1007/s10009-014-0354-x,,,"Conformance testing, Petri nets, Sequence diagrams",Springer-Verlag,1433-2779,,,,"46049,79051","46049,79051",Unclassified,
,I Will Survive: An Event-driven Conformance Checking Approach Over Process Streams,"Raun, Kristo and Tommasini, Riccardo and Awad, Ahmed",,2023,ACM Digital Library,49–60,,"Online conformance checking deals with finding discrepancies between real-life and modeled behavior on data streams. The current state-of-the-art output of online conformance checking is a prefix-alignment, which is used for pinpointing the exact deviations in terms of the trace and the model while accommodating a trace's unknown termination in an online setting. Current methods for producing prefix-alignments are computationally expensive and hinder the applicability in real-life settings.This paper introduces a new approximate algorithm - I Will Survive (IWS). The algorithm utilizes the trie data structure to improve the calculation speed, while remaining memory-efficient. Comparative analysis on real-life and synthetic datasets shows that the IWS algorithm can achieve an order of magnitude faster execution time while having a smaller error cost, compared to the current state of the art. In extreme cases, the IWS finds prefix-alignments roughly three orders of magnitude faster than previous approximate methods. The IWS algorithm includes a discounted decay time setting for more efficient memory usage and a look-ahead limit for improving computation time. Finally, the algorithm is stress tested for performance using a simulation of high-traffic event streams.",,10.1145/3583678.3596887,https://doi.org/10.1145/3583678.3596887,,,"online conformance checking, event-based business process management, prefix-alignments, data streams",Association for Computing Machinery,,,,,"46049,79051","46049,79051",Unclassified,
